"replication","system_a","system_b"
"1","10.4589","10.0567"
"2","5.9168","5.0771"
"3","8.9743","8.4328"
"4","6.8187","5.6911"
"5","7.7728","6.2791"
"6","7.9934","7.5256"
"7","8.0594","7.3794"
"8","9.0883","8.4726"
"9","4.9326","5.0425"
"10","5.3645","4.886"
"11","10.3732","8.8009"
"12","11.5266","11.589"
"13","7.3996","6.0571"
"14","8.5596","7.8332"
"15","6.7773","5.4329"
"16","8.3162","6.8633"
"17","7.7611","7.1759"
"18","9.255","9.1655"
"19","7.7947","7.21"
"20","7.3972","6.5674"
"21","10.437","8.8401"
"22","9.9999","8.4561"
"23","9.4273","8.7871"
"24","7.9374","7.4036"
"25","9.7014","8.3605"
"26","6.1484","5.6954"
"27","7.819","6.5714"
"28","8.3313","8.0952"
"29","8.1561","7.3789"
"30","11.628","10.3989"
"31","7.9097","6.3739"
"32","6.8435","5.4598"
"33","10.0823","9.4363"
"34","9.3444","8.3954"
"35","8.7116","7.7405"
"36","9.9969","8.777"
"37","9.7867","9.1207"
"38","7.0374","6.5548"
"39","10.1524","9.532"
"40","10.6668","10.3631"
